STID,Latitude,Longitude,Depth,Owner,Area,Lake
44131,46.05,-60.7,,MEDS,Atlantic,
44137,42.277,-62,,MEDS,Atlantic,
44138,44.258,-53.623,,MEDS,Atlantic,
44139,44.258,-57.392,,MEDS,Atlantic,
44140,42.852,-51.567,,MEDS,Atlantic,
44141,42.067,-56.152,,MEDS,Atlantic,
44142,42.445,-64.1,,MEDS,Atlantic,
44150,46.85,-64.635,,MEDS,Atlantic,
44172,44.5,-63.408,,MEDS,Atlantic,
44251,46.443,-53.388,,MEDS,Atlantic,
44255,47.282,-57.352,,MEDS,Atlantic,
44258,44.502,-63.403,,MEDS,Atlantic,
45132,42.463,-81.215,,MEDS,Great Lakes,O
45135,43.792,-76.873,,MEDS,Great Lakes,O
45136,48.535,-86.953,,MEDS,Great Lakes,S
45137,45.545,-81.015,,MEDS,Great Lakes,H
45139,43.252,-79.535,,MEDS,Great Lakes,O
45142,42.737,-79.29,,MEDS,Great Lakes,O
45143,44.945,-80.627,,MEDS,Great Lakes,H
45147,51.83,-131.23,,MEDS,Lake St Clair,
45149,43.542,-82.075,,MEDS,Great Lakes,H
45154,46.05,-82.637,,MEDS,Great Lakes,H
45159,43.767,-78.983,,MEDS,Great Lakes,O
46004,50.93,-136.095,,MEDS,Pacific,
46036,48.355,-133.938,,MEDS,Pacific,
46131,49.907,-124.985,,MEDS,Pacific,
46132,49.738,-127.932,,MEDS,Pacific,
46145,54.367,-132.443,,MEDS,Pacific,
46146,49.34,-123.727,,MEDS,Pacific,
46147,51.828,-131.225,,MEDS,Pacific,
46181,53.833,-128.832,,MEDS,Pacific,
46183,53.617,-131.105,,MEDS,Pacific,
46184,53.915,-138.85,,MEDS,Pacific,
46185,52.425,-129.792,,MEDS,Pacific,
46204,51.368,-128.75,,MEDS,Pacific,
46205,54.165,-134.282,,MEDS,Pacific,
46207,50.875,-129.915,,MEDS,Pacific,
46208,52.515,-132.692,,MEDS,Pacific,
